top - 22:07:21 up  4:28,  1 user,  load average: 1,49, 1,38, 1,69
Tareas: 447 total,   1 ejecutar,  445 hibernar,    0 detener,    1 zombie
%Cpu(s):  0,7 us,  2,6 sy,  2,2 ni, 94,0 id,  0,0 wa,  0,0 hi,  0,4 si,  0,0 st
MiB Mem :  64208,6 total,   2651,6 libre,   4995,4 usado,  56561,6 búfer/caché
MiB Intercambio:  20479,5 total,  17860,0 libre,   2619,5 usado.  54766,8 dispon Mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
   4708 martin    20   0 4621044 556924 247092 S  18,8   0,8  21:16.85 firefox-bin
   5173 martin    26   6  655752 135696  87132 S  12,5   0,2   9:36.81 RDD Process
  19008 martin    26   6  246,2g  47,2g  47,1g S   6,2  75,3  27:58.96 qbittorrent
  22221 martin    26   6 2964664 464628 111400 S   6,2   0,7   2:56.16 Isolated Web Co
  39465 martin    20   0   23424   4352   3456 R   6,2   0,0   0:00.01 top
      1 root      20   0  166852   9352   6880 S   0,0   0,0   0:01.19 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root      20   0       0      0      0 S   0,0   0,0   0:00.00 pool_workqueue_release
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-rcu_g
      5 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-rcu_p
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-slub_
      7 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-netns
     10 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/0:0H-events_hi+
     12 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-mm_pe
     13 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tasks_kthread
     14 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tasks_rude_kthread
     15 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tasks_trace_kthread
     16 root      20   0       0      0      0 S   0,0   0,0   0:00.13 ksoftirqd/0
     17 root      20   0       0      0      0 I   0,0   0,0   0:08.12 rcu_preempt
     18 root      rt   0       0      0      0 S   0,0   0,0   0:00.02 migration/0
     19 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/0
     20 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     21 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     22 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/1
     23 root      rt   0       0      0      0 S   0,0   0,0   0:00.34 migration/1
     24 root      20   0       0      0      0 S   0,0   0,0   0:00.06 ksoftirqd/1
     26 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/1:0H-events_hi+
     27 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
     28 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/2
     29 root      rt   0       0      0      0 S   0,0   0,0   0:00.34 migration/2
     30 root      20   0       0      0      0 S   0,0   0,0   0:00.06 ksoftirqd/2
